"name","fork project","commits","branches","default branch","releases","contributors","license","watchers","stargazers","forks","size","created","pushed","updated","homepage","main language","total issues","open issues","total pull requests","open pull requests","last commit","last commit SHA","has wiki","is archived","languages","labels"
"angular/angular","false","20183","61","master","619","1351","MIT License","3207","70832","18611","276853","2014-09-18 16:12:01.0","2021-02-21 13:47:58.0","2021-02-21 18:45:48.0","https://angular.io","TypeScript","22255","2439","18101","251","2021-02-19 22:38:18.0","d1d1dadb41397ffa48e6eecbbdc1ee78c7d80fdd","false","false","TypeScript,JavaScript,Starlark,HTML,CSS,SCSS,Shell,Dockerfile,PHP,PowerShell,JSONiq,Less","P0,P1,P2,P3,P4,P5,PullApprove: disable,action: cleanup,action: discuss,action: merge,action: merge-assistance,action: presubmit,action: rerun CI at HEAD,action: review,action: time-zone,aio: preview,browser: chrome,browser: edge,browser: firefox,browser: ie 11,browser: ie 9 or 10,browser: safari,cla: no,cla: yes,comp: animations,comp: bazel,comp: benchpress,comp: build & ci,comp: common,comp: common/http,comp: compiler,comp: core,comp: dev-infra,comp: docs,comp: docs-infra,comp: docs/api,comp: elements,comp: examples,comp: forms,comp: http,comp: i18n,comp: in-memory-web-api,comp: language-service,comp: migrations,comp: ngbot,comp: ngcc,comp: packaging,comp: performance,comp: router,comp: security,comp: server,comp: service-worker,comp: testing,comp: ts-api-guardian,comp: upgrade,comp: web-worker,comp: zones,compiler: linker,compiler: parser,compiler: template type-checking,core: CSS encapsulation,core: DOM rendering,core: NgModule,core: basic template syntax,core: binding & interpolation,core: bootstrap,core: change detection,core: component extension and customization,core: content projection,core: debug tools,core: di,core: differs,core: directive matching,core: dynamic view creation,core: error handling,core: event listeners,core: host and host bindings,core: inputs / outputs,core: lifecycle hooks,core: local references,core: ng-template and *microsyntax,core: performance,core: pipes,core: queries,core: sanitization,core: stylesheets,core: styling bindings,cross-cutting: CSP,cross-cutting: SVG,cross-cutting: a11y,cross-cutting: custom elements,cross-cutting: decorators,cross-cutting: observables,cross-cutting: tree-shaking,cross-cutting: types,design complexity: low-hanging,design complexity: major,discussion,docsarea: DI,docsarea: architecture doc"
"ansible/ansible","false","51287","45","devel","3","386","GPL-3.0","2020","47368","20411","195661","2012-03-06 14:58:02.0","2021-03-28 23:48:29.0","2021-03-29 08:23:41.0","https://www.ansible.com/","Python","29008","1297","44838","567","2021-03-28 01:28:28.0","af7f3fc2668b4f5fa58b47149ac16bf1d1135f62","false","false","Python,PowerShell,Shell,C#,HTML,Makefile,Tcl,Go,Roff,Dockerfile,Batchfile","AnsibleFest,P1,P2,P3,WIP,aci,affects_1,affects_1.0,affects_1.1,affects_1.4,affects_1.7,affects_1.8,affects_1.9,affects_2.0,affects_2.1,affects_2.10,affects_2.11,affects_2.12,affects_2.2,affects_2.3,affects_2.4,affects_2.5,affects_2.6,affects_2.7,affects_2.8,affects_2.9,aireos,aix,ansible-2.10-plan,arg_spec,asa,automerge,avi,aws,awx,azure,backport,backport_request,backport_verified,bitbucket,bot_broken,bot_closed,botmeta,bsd,bucket1,bucket2,bucket3,bucket4,bucket5,bucket6,bucket7,bug,c:cli/,c:cli/adhoc,c:cli/console,c:cli/galaxy,c:cli/playbook,c:cli/pull,c:cli/vault,c:compat/six,c:constants,c:errors/,c:executor/module_common,c:executor/playbook_executor,c:executor/stats,c:executor/task_executor,c:executor/task_queue_manager,c:galaxy/,c:inventory/contrib_script,c:inventory/group,c:inventory/host,c:inventory/ini,c:inventory/inventory,c:inventory/script,c:module_utils/,c:module_utils/basic,c:module_utils/facts,c:module_utils/urls,c:module_utils/vmware,c:parsing/data_loader,c:parsing/mod_args,c:parsing/quoting,c:parsing/splitter,c:parsing/utils/,c:parsing/vault/,c:parsing/yaml/,c:playbook/attribute,c:playbook/base,c:playbook/become,c:playbook/block,c:playbook/conditional,c:playbook/handler*,c:playbook/helpers,c:playbook/included_file,c:playbook/loop_control,c:playbook/play,c:playbook/play_context,c:playbook/playbook,c:playbook/playbook_include,c:playbook/role/*"
"apple/swift","false","117696","322","main","1771","855","Apache License 2.0","2590","55121","8849","647052","2015-10-23 21:15:07.0","2021-02-22 08:30:48.0","2021-02-22 05:27:35.0","https://swift.org","C++","?","?","35945","319","2021-02-22 05:27:30.0","68da1f540cd46d1cc7adabf818c3900bf393984b","false","false","C++,Swift,Python,CMake,Objective-C,C,Objective-C++,Shell,LLVM,Emacs Lisp,Vim script,Batchfile,Roff,DTrace,Ruby,Makefile,D,sed","AArch64 Linux,C++ Interop,CodeHealth,Testcases,bug,duplicate,enhancement,help wanted,invalid,pending-convergence,performance,potentially-source-breaking,question,r5.2,r5.3,r5.4,swift-evolution-approved,swift-evolution-pending-discussion,tensorflow,wontfix"
"bitcoin/bitcoin","false","28238","7","master","34","361","MIT License","3751","51093","28158","163200","2010-12-19 15:16:43.0","2021-03-28 04:36:48.0","2021-03-28 03:46:14.0","https://bitcoincore.org/en/download","C++","6095","561","14994","395","2021-03-27 01:06:53.0","e658b0e49bee257e197dd8ca37ee3ffa73092d92","false","false","C++,Python,C,M4,Shell,Makefile,Sage,CMake,Assembly,HTML,Scheme,Objective-C++,QMake,Java","Android,Backport,Block storage,Brainstorming,Bug,Build system,Consensus,Data corruption,Descriptors,Docs,Feature,GUI,Good First Review,Hacktoberfest,Linux/Unix,Mempool,Mining,Needs Conceptual Review,Needs Guix build,Needs backport (0.18),Needs backport (0.19),Needs backport (0.20),Needs backport (0.21),Needs gitian build,Needs rebase,Needs release note,P2P,PSBT,Privacy,Questions and Help,RPC/REST/ZMQ,Refactoring,Resource usage,Review club,Scripts and tools,Settings,TX fees and policy,Tests,UTXO Db and Indexes,Up for grabs,Upstream,Utils/log/libs,Validation,Waiting for author,Waiting for other,Wallet,Windows,good first issue,interfaces,macOS"
"django/django","false","29416","25","main","0","399","Other","2325","56460","24173","204308","2012-04-28 02:47:18.0","2021-03-28 13:12:16.0","2021-03-28 21:49:21.0","https://www.djangoproject.com/","Python","0","0","14162","167","2021-03-26 11:18:27.0","dcb06c2c6889d04506b48f025622357e2926c709","false","false","Python,HTML,JavaScript,CSS,Shell,Smarty,Makefile","bug,duplicate,enhancement,invalid,question,wontfix"
"elastic/elasticsearch","false","57975","115","master","44","355","Other","2775","54246","19536","803789","2010-02-08 13:20:56.0","2021-03-29 03:35:51.0","2021-03-29 03:26:29.0","https://www.elastic.co/products/elasticsearch","Java","26560","2774","44199","388","2021-03-28 22:23:30.0","3725cb53da15892a83ac467aaaf1cd6e49cd9c31","false","false","Java,Groovy,Shell,ANTLR,Batchfile,Python,Dockerfile,CSS,Emacs Lisp,HTML,PowerShell,JavaScript,Mustache,FreeMarker",":Analytics/Aggregations,:Analytics/Geo,:Analytics/Graph,:Analytics/Rollup,:Core/Features/CAT APIs,:Core/Features/Data streams,:Core/Features/Features,:Core/Features/ILM+SLM,:Core/Features/Indices APIs,:Core/Features/Ingest,:Core/Features/Java High Level REST Client,:Core/Features/Java Low Level REST Client,:Core/Features/Monitoring,:Core/Features/Stats,:Core/Features/Watcher,:Core/Infra/CLI,:Core/Infra/Circuit Breakers,:Core/Infra/Core,:Core/Infra/Logging,:Core/Infra/Node Lifecycle,:Core/Infra/Plugins,:Core/Infra/REST API,:Core/Infra/Resiliency,:Core/Infra/Scripting,:Core/Infra/Settings,:Core/Infra/Transport API,:Delivery/Build,:Delivery/Cloud,:Delivery/Packaging,:Delivery/Tooling,:Distributed/Allocation,:Distributed/Autoscaling,:Distributed/CCR,:Distributed/CRUD,:Distributed/Cluster Coordination,:Distributed/Discovery-Plugins,:Distributed/Distributed,:Distributed/Engine,:Distributed/Network,:Distributed/Recovery,:Distributed/Reindex,:Distributed/Snapshot/Restore,:Distributed/Store,:Distributed/Task Management,:Docs,:Performance,:Query Languages/EQL,:Query Languages/SQL,:Search/Analysis,:Search/Highlighting,:Search/Mapping,:Search/Percolator,:Search/Ranking,:Search/Search,:Search/Suggesters,:Security/Audit,:Security/Authentication,:Security/Authorization,:Security/Client,:Security/FIPS,:Security/IdentityProvider,:Security/License,:Security/Security,:Security/TLS,:ml,:ml/Transform,>breaking,>breaking-java,>bug,>deprecation,>docs,>enhancement,>feature,>new-aggregation,>new-field-mapper,>non-issue,>refactoring,>regression,>test,>test-failure,>test-mute,>upgrade,Awaiting CLA,Dependency:Endpoint,Dependency:SIEM,Initiative:MakeItSlow,Meta,PITA,Pioneer Program,Pretty Bloody Important,Team:Analytics,Team:Clients,Team:Core/Features,Team:Core/Infra,Team:Delivery,Team:Distributed,Team:Docs,Team:ML,Team:Performance,Team:QL"
"electron/electron","false","24788","107","master","706","378","MIT License","2948","91023","12180","90150","2013-04-12 01:47:36.0","2021-03-29 01:04:56.0","2021-03-29 05:44:44.0","https://electronjs.org","C++","14824","1032","13181","73","2021-03-26 14:32:17.0","5be2183dd7689318c2b4ac34af6d0e748720629a","false","false","C++,TypeScript,JavaScript,Objective-C++,HTML,Python,Objective-C,Shell,Batchfile,CSS,C,PowerShell,CoffeeScript","10-x-y,11-x-y,12-x-y,13-x-y,2-0-x,3-0-x,3-1-x,4-0-x,4-1-x,4-2-x,5-0-x,6-0-x,6-1-x,7-0-x,7-1-x,7-2-x,7-3-x,8-x-y,9-x-y,Big Sur 🍎,WOA,a11y,announcement :mega:,api-review/approved ✅,api-review/declined ❌,api-review/requested 🗳,api-review/reviewed,app-feedback-program,app-store,app/Slack,arch/arm,arch/arm64,arch/x64,arch/x86,backport,backport-check-skip,backport/approved ✅,backport/declined ❌,backport/requested 🗳,blocked/need-info ❌,blocked/need-repro,blocked/upstream ❌,blocks-release,bug :beetle:,bug/os-regression,bug/regression :leftwards_arrow_with_hook:,chromium,ci-flake ⭕️,component/BrowserView,component/BrowserWindow,component/accessibility,component/asar,component/auto-updater,component/bluetooth,component/build,component/chrome-api,component/clipboard,component/context-bridge,component/crash-reporter,component/desktopcapturer,component/devtools,component/dialog,component/drag-and-drop,component/fullscreen,component/ipc,component/menu,component/modal,component/multithreading,component/native-image,component/native-theme,component/net,component/node-integration,component/notifications,component/offscreen,component/other,component/pdf-viewer,component/plznavigate,component/powerMonitor,component/printing,component/protocol,component/sandbox,component/shell,component/spellcheck,component/system-preferences,component/touch,component/touch-bar,component/transparent,component/tray,component/typescript,component/webcontents,component/webview,crash :boom:,dependencies,discussion :speech_balloon:,do-not-merge,documentation :notebook:,enhancement :sparkles:,fast-track 🚅,good first issue,hacktoberfest"
"emberjs/ember.js","false","20554","35","master","386","350","MIT License","944","21785","4223","69744","2011-05-25 23:39:40.0","2021-03-28 07:22:39.0","2021-03-28 19:53:24.0","https://emberjs.com","JavaScript","6424","286","9389","91","2021-03-26 00:20:52.0","4b1288c6558759838bc9395d49139bfcbf32e57a","false","false","JavaScript,TypeScript,HTML,Handlebars","Bug,Cleanup,Deprecation,Documentation,Ember 1.13,Ember 1.X,Ember 2.10,Ember 2.15,Ember 2.X,Engines,Failing Test,Feature,Glimmer2,Good for New Contributors,HTMLBars,Has PR,Has Reproduction,Help Wanted,IE11,Inactive,Input,Meta,Module Unification,Needs Bug Verification,Needs Code Review,Needs Label Review,Needs RFC,Needs Reproduction,Needs Submitter Response,Needs Team Discussion,Needs Team Response,Needs backport,Needs benchmark,Octane,Old: BREAKING,Performance,Proof of concept,Proposed Feature,Query Params,Quest,RFC Implementation,Ready for PR,Regression,Rendering,Reported Private API Usage,Router Bugs,Routing,Task List,a11y,blueprint,bot_automerge,dependencies,enhancement,hacktoberfest-accepted,internal,invalid,javascript,memory leak,meta-refactor,nostalgia,security,tooling,wontfix"
"emscripten-core/emscripten","false","22350","168","main","0","394","Other","630","20427","2520","229490","2011-02-12 05:23:30.0","2021-03-28 14:47:22.0","2021-03-29 06:07:57.0","","C++","6301","831","7391","188","2021-03-28 14:47:22.0","635c4608fbcc34b025267e0b626f3f245296f4e6","true","false","C++,C,JavaScript,Python,HTML,CMake,Assembly,Shell,Makefile,Batchfile,SourcePawn,Pawn,Objective-C","C++ exceptions,CMake,Desktop OpenGL emulation,EGL,ES Modules,GL,GLEW,GLFW,GLUT,HTML5 API,IE Support,Important,LLVM wasm backend,Linux,OSX,OpenAL,Rust integration,SDL,SIMD,code size,cygwin,dynamic_linking,embind,emsdk,fastcomp,filesystem,good first bug,help wanted,iOS,memory growth,multithreading,networking,offscreencanvas,performance,tests,triaged,utf,windows,wontfix"
"facebook/react-native","false","22223","74","master","152","357","Other","3719","94371","20642","734105","2015-01-09 18:10:16.0","2021-03-27 16:17:21.0","2021-03-28 11:34:45.0","https://reactnative.dev","JavaScript","21077","1247","9951","368","2021-03-27 06:48:28.0","9ebdf747089deda140a0b9069fd7b4b801646efa","true","false","JavaScript,Java,C++,Objective-C,Objective-C++,Starlark,Ruby,Shell,Makefile,Kotlin,Assembly,C,HTML,CMake,Batchfile","API: AccessibilityInfo,API: ActionSheetIOS,API: Alert,API: AlertIOS,API: Animated,API: AppRegistry,API: AppState,API: AsyncStorage,API: BackAndroid,API: BackHandler,API: CameraRoll,API: Clipboard,API: DatePickerAndroid,API: Dimensions,API: Easing,API: Geolocation,API: ImageEditor,API: ImagePickerIOS,API: ImageStore,API: InteractionManager,API: Keyboard,API: LayoutAnimation,API: Linking,API: ListViewDataSource,API: NetInfo,API: PanResponder,API: PermissionsAndroid,API: PixelRatio,API: PushNotificationIOS,API: Settings,API: Share,API: StatusBarIOS,API: StyleSheet,API: Systrace,API: TimePickerAndroid,API: ToastAndroid,API: Transforms,API: Vibration,API: VibrationIOS,Accessibility,Accessibility Team - Evaluated,Amazon,Blocked on FB,Bug,CLA Signed,Closure Dependent on Other Issues,Codegen,Component: ActivityIndicator,Component: Button,Component: DatePickerIOS,Component: DrawerLayoutAndroid,Component: FlatList,Component: Image,Component: ImageBackground,Component: InputAccessoryView,Component: KeyboardAvoidingView,Component: ListView,Component: Modal,Component: NavigatorIOS,Component: Picker,Component: PickerIOS,Component: ProgressBarAndroid,Component: ProgressViewIOS,Component: RefreshControl,Component: SafeAreaView,Component: ScrollView,Component: SectionList,Component: SegmentedControlIOS,Component: Slider,Component: SnapshotViewIOS,Component: StatusBar,Component: Switch,Component: TabBarIOS,Component: Text,Component: TextInput,Component: ToolbarAndroid,Component: TouchableHighlight,Component: TouchableNativeFeedback,Component: TouchableOpacity,Component: TouchableWithoutFeedback,Component: View,Component: ViewPagerAndroid,Component: VirtualizedList,Component: WebView,Contributor,DX,Debugging,ESlint: eslint-config-react-native-community,Fabric,Failed Commands,Fails Internal Tests,Flipper,Flow,Follow Up,Good first issue,Help Wanted :octocat:,Hermes,Impact: App Rejected,Impact: Crash,Impact: Errors During Build"
"ffmpeg/ffmpeg","false","101760","31","master","11","301","Other","1270","24067","8167","260849","2011-04-14 14:12:38.0","2021-03-29 20:45:17.0","2021-03-30 02:48:57.0","https://ffmpeg.org/","C","0","0","352","1","2021-03-29 20:19:39.0","7fc8ba9068abc4c4cb3fbca4a25b53710ec374b6","false","false","C,Assembly,Makefile,C++,Objective-C,Shell,Cuda,Python,Perl,Awk,HTML,Ruby,Coq,Roff","spam"
"getsentry/sentry","false","35140","228","master","69","354","Other","670","27651","3101","185921","2010-08-30 22:06:41.0","2021-03-28 20:23:22.0","2021-03-28 17:47:28.0","https://sentry.io","Python","4414","204","20105","114","2021-03-27 12:42:06.0","37ca88539ecfd98ccc61513c179704f31689afe1","false","false","Python,TypeScript,JavaScript,HTML,Less,Lua,Shell,Makefile,Dockerfile,EJS,Ruby","Component: API,Component: Analytics,Component: Auth,Component: Beacon,Component: CI,Component: Core Frontend (React),Component: Debugger,Component: Developer Environment,Component: Documentation,Component: Event Pipeline,Component: Feedback,Component: Grouping,Component: Inbound Filters,Component: Integrations,Component: Issues,Component: Logging,Component: Monitoring,Component: Notifications,Component: Onboarding,Component: Package,Component: Relay,Component: Releases,Component: Rules,Component: SDK,Component: Search,Component: UI,Component: User Crash Report,Component: Workflow,Component: i18n,Deploy: Monitored,Deploy: Risky,Design Review,Do Not Merge,Easy Task,Hacktoberfest,Hosting: Self-hosted,Hosting: sentry.io,Impact: Large,Impact: Medium,Impact: Migration,Impact: Small,Platform: Cocoa,Platform: Java,Platform: JavaScript,Platform: PHP,Platform: Python,Platform: Ruby,Security,Status: Backlog,Status: In Progress,Status: Invalid,Status: Needs More Information,Status: Stale,Status: Unrouted,Status: Untriaged,Team: Ecosystem,Team: Enterprise,Team: Infrastructure,Team: Ingest,Team: Mobile Platform,Team: Native Platform,Team: Open Source,Team: Ops,Team: Revenue,Team: Search & Storage,Team: Visibility,Team: Web Platform,Team: Workflow,Type: Bug,Type: Design,Type: Discussion,Type: User Feedback,WIP,dependencies,invalid,javascript,python,wcgw"
"git/git","false","62544","5","master","0","406","Other","2302","37403","21187","159258","2008-07-23 14:21:26.0","2021-03-29 02:37:46.0","2021-03-29 14:54:00.0","","C","0","0","839","51","2021-03-26 21:59:47.0","84d06cdc06389ae7c462434cb7b1db0980f63860","false","false","C,Shell,Perl,Tcl,Python,Makefile,JavaScript,M4,CMake,Roff,C++,Go,sed,CSS,Batchfile,SmPL,Assembly,Objective-C,Emacs Lisp","maint,master,new user,next,pu,seen"
"godotengine/godot","false","33134","11","master","29","0","Other","1417","36771","6919","539277","2014-01-04 16:05:36.0","2021-02-23 22:30:51.0","2021-02-24 02:04:07.0","https://godotengine.org","C++","26584","4967","18841","1014","2021-02-23 17:47:51.0","d4191e48c5f4af920e87a70fe3c5ae9219a3332b","false","false","C++,C,C#,GLSL,Java,Python,Objective-C++,JavaScript,Objective-C,Shell,Kotlin,PowerShell,CMake,Makefile","archived,breaks compat,bug,cherrypick:3.1,cherrypick:3.2,confirmed,crash,discussion,documentation,enhancement,feature proposal,for pr meeting,hero wanted!,high priority,junior job,needs testing,needs work,platform:android,platform:html5,platform:ios,platform:linuxbsd,platform:macos,platform:uwp,platform:windows,pr welcome,regression,salvageable,topic:2d,topic:3d,topic:animation,topic:assetlib,topic:audio,topic:buildsystem,topic:codestyle,topic:core,topic:editor,topic:gdnative,topic:gdscript,topic:gui,topic:import,topic:input,topic:mono,topic:navigation,topic:network,topic:physics,topic:plugin,topic:porting,topic:rendering,topic:shaders,topic:tests,topic:thirdparty,topic:visualscript,topic:xr,tracker,usability"
"grafana/grafana","false","28083","581","master","235","1391","Apache License 2.0","1238","39923","8100","363568","2013-12-11 15:59:56.0","2021-02-21 23:09:32.0","2021-02-22 03:36:08.0","https://grafana.com","TypeScript","18975","2372","12361","123","2021-02-21 07:06:25.0","7c797f737c950a59c4931f4a8b49e11b6c704d42","true","false","TypeScript,Go,JavaScript,HTML,Rich Text Format,SCSS,Shell,Dockerfile,Python,Jsonnet,CSS,Makefile,Smarty,PHP","Epic,Hacktoberfest,add to changelog,area/admin/user,area/alerting,area/alerting-ng,area/alerting/evaluation,area/alerting/notifications,area/annotations,area/backend,area/backend/api,area/backend/auth,area/backend/auth/authproxy,area/backend/auth/ldap,area/backend/auth/oauth,area/backend/config,area/backend/db,area/backend/db/mysql,area/backend/db/postgres,area/backend/db/sql,area/backend/db/sqlite,area/backend/logging,area/backend/plugins,area/backend/security,area/backend/user,area/backend_srv,area/configuration,area/dashboard,area/dashboard/data-links,area/dashboard/folders,area/dashboard/history,area/dashboard/import,area/dashboard/links,area/dashboard/schemas,area/dashboard/scripted,area/dashboard/snapshot,area/dashboard/templating,area/dashboard/timerange,area/dashboard/timezone,area/dataframe,area/datasource,area/datasource/backend,area/datasource/frontend,area/datasource/proxy,area/devenv,area/docker,area/editor,area/explore,area/expressions,area/field/overrides,area/frontend,area/frontend/code-editor,area/frontend/login,area/grafana-cli,area/grafana.com,area/grafana/data,area/grafana/e2e,area/grafana/runtime,area/grafana/toolkit,area/grafana/ui,area/image-rendering,area/imagestore,area/instrumentation,area/internationalisation,area/mailing,area/meta-analytics,area/mobile-support,area/navigation,area/panel/alertlist,area/panel/barchart,area/panel/bargauge,area/panel/common,area/panel/dashboard-list,area/panel/data,area/panel/edit,area/panel/gauge,area/panel/graph,area/panel/heatmap,area/panel/infrastructure,area/panel/logs,area/panel/news,area/panel/node-graph,area/panel/piechart,area/panel/singlestat,area/panel/stat,area/panel/table,area/panel/text,area/panel/timeseries,area/panel/xychart,area/permissions,area/playlist,area/plugins,area/plugins/app,area/provisioning,area/reusable-queries,area/search,area/security,area/storybook,area/streaming,area/templating/repeating"
"grpc/grpc","false","48752","68","master","168","326","Apache License 2.0","1354","29808","7675","312068","2014-12-08 18:58:53.0","2021-03-28 22:30:47.0","2021-03-29 05:53:46.0","https://grpc.io","C++","9402","638","16214","133","2021-03-25 21:12:46.0","53ba4a101e80e1a67d4ec741b7e1aad6ea8d790f","true","false","C++,C,Python,C#,Ruby,Objective-C,Starlark,Shell,CMake,PHP,Makefile,Dockerfile,JavaScript,M4,Objective-C++,Go,Batchfile,XSLT,Swift,Java,Mako,Awk,PowerShell,CSS,DTrace,HTML","area/Census,area/api,area/api/BREAKAGE,area/build,area/channelz,area/client channel,area/concurrency,area/core,area/documentation,area/infra,area/interop,area/packaging & distribution,area/performance,area/performance/benchmarking,area/performance/latency,area/protoc plugins,area/protocol,area/retry support,area/security,area/test,area/tools,c=+,cla: no,cla: yes,cncf-cla: no,cncf-cla: yes,disposition/BUILDNURSE,disposition/DO NOT MERGE,disposition/FOR DISCUSSION,disposition/Needs Documentation,disposition/Needs Internal Changes,disposition/Work In Progress,disposition/cannot reproduce,disposition/duplicate,disposition/good first issue,disposition/help wanted,disposition/never stale,disposition/on hold,disposition/ready to merge,disposition/requires reporter action,disposition/stale,disposition/to close,disposition/wontfix,infra/Bazel,infra/CMake,infra/Jenkins,infra/Kokoro,infra/New Failure,infra/Stress Tests,infra/Travis,infra/bazel test failures,infra/buildgen,infra/coverage,infra/test env flake,invalid,kind/bug,kind/enhancement,kind/experimental api,kind/internal cleanup,kind/question,kokoro:force-run,kokoro:run,lang/C#,lang/Java,lang/ObjC,lang/Python,lang/all,lang/all wrapped languages,lang/c++,lang/core,lang/go,lang/node,lang/node/binary installation,lang/node/protobuf.js,lang/other,lang/php,lang/ruby,platform/Android,platform/BSD,platform/Linux,platform/Windows,platform/iOS,platform/macOS,priority/Needs Prioritization,priority/P0,priority/P0/RELEASE BLOCKER,priority/P1,priority/P2,priority/P3,release notes: no,release notes: yes,spam,toolchain/.NET Core,toolchain/Python/PyPy,toolchain/Python/Python 2,toolchain/Python/Python 3,transient/fixit"
